id,pincode,post_office_name,sub_po_name,district,districtcode,create_date,update_date,is_active
1,686102,Kunnamkary,Kuttanad,Alappuzha,11,"2023-08-14 09:45:02","2023-08-14 10:35:54",1
4,686102,Kidangara,Kuttanad,Alappuzha,11,"2023-08-14 09:45:02","2023-08-14 10:35:54",1
7,686103,Kumarankary,Kuttanadu,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
10,686534,Kainady,Kuttanad,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
13,686534,"Eara North",Kuttanad,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
16,686534,Neelamperoor,Kuttanad,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
19,688001,"Alappuzha Collectorate",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
22,688001,Alappuzha,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
25,688002,"Thiruvampady Junction",Ambalapuha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
28,688002,"Vattayal Ward",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
31,688003,Vadackal,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
34,688003,Sanathanapuram,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
37,688004,Punnapra,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
40,688005,Vysombhagom,Kuttanad,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
43,688005,"Alappuzha Medical College",Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
46,688005,Kanjipadom,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
49,688005,Kakkazhom,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
52,688006,"Vembanad Kayal",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
55,688006,Avalukkunnu,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
58,688006,Komalapuram,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
61,688006,Kottankulangara,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
64,688007,Kanjiramchira,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
67,688007,"Alappuzha North","Ambalapuzh A",Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
70,688007,"Kommady Ward",Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
73,688008,Thumpoly,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
76,688009,Pazhaveedu,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
79,688011,"Alappuzha District Hospital",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
82,688011,Kuppappuram,Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
85,688011,Chungom,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
88,688011,"Alappuzha Iron Bridge",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:03","2023-08-14 10:35:54",1
91,688011,"Alappuzha Mullackal",Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
94,688012,"Alappuzha Bazar",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
97,688013,Thathampally,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
100,688013,Thondankulangara,Ambalappuzha,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
103,688014,"Punnapra North",Ambalapuzha,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
106,688501,Chennamkary,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
109,688501,Kuttamangalam,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
112,688501,"Kainakary East",Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
115,688501,Kainakary,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
118,688501,Thottuvathala,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
121,688502,Chathurthiakary,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
124,688502,Moncombu,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
127,688503,Ponga,Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
130,688503,"Moncombu Thekkekara",Kuttanad,Alappuzha,11,"2023-08-14 09:45:04","2023-08-14 10:35:54",1
