id,popname,district,poptype,popid,create_date,update_date,is_active
1,Adichanallur,Kollam,PAG,PP125KLM,2023-08-14 09:45:02,2023-08-14 10:35:54,1
4,Adimali,Idukki,PAG,PP163IDK,2023-08-14 09:45:02,2023-08-14 10:35:54,1
7,Adoor,Pathanamthitta,PAG,PP139PTA,2023-08-14 09:45:03,2023-08-14 10:35:54,1
10,Agali,Palakkad,SPUR,SP343PLK,2023-08-14 09:45:03,2023-08-14 10:35:54,1
13,Agasthiamuzhi,Kozhikode,PAG,PP258KKD,2023-08-14 09:45:03,2023-08-14 10:35:54,1
16,Alakode,Kannur,PAG,PP277KNR,2023-08-14 09:45:03,2023-08-14 10:35:54,1
19,Alanallur,Palakkad,PAG,PP223PLK,2023-08-14 09:45:03,2023-08-14 10:35:54,1
22,Alangad,Ernakulam,SPUR,SP327EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
25,Alappuzha,Alappuzha,PAG,PP144ALP,2023-08-14 09:45:03,2023-08-14 10:35:54,1
28,Alathur,Palakkad,SPUR,SP344PLK,2023-08-14 09:45:03,2023-08-14 10:35:54,1
31,Aluva,Ernakulam,Agg,AP053EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
34,Ambalamughal,Ernakulam,PAG,PP170EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
37,Ambalappuram,Kollam,Agg,AP022KLM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
40,Ambalavayal,Wayanad,PAG,PP383WYD,2023-08-14 09:45:03,2023-08-14 10:35:54,1
43,Ananthapuram,Kasaragod,PAG,PP292KGD,2023-08-14 09:45:03,2023-08-14 10:35:54,1
46,Anchal,Kollam,Agg,AP023KLM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
49,Anchangadi,Thrissur,SPUR,SP328TCR,2023-08-14 09:45:03,2023-08-14 10:35:54,1
52,Angamali,Ernakulam,PAG,PP171EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
55,Anjukunnu,Wayanad,PAG,PP272WYD,2023-08-14 09:45:03,2023-08-14 10:35:54,1
58,Anthikkad,Thrissur,SPUR,SP201TCR,2023-08-14 09:45:03,2023-08-14 10:35:54,1
61,Arangottukara,Malappuram,PAG,PP237MLP,2023-08-14 09:45:03,2023-08-14 10:35:54,1
64,Areekode,Malappuram,SPUR,SP356MLP,2023-08-14 09:45:03,2023-08-14 10:35:54,1
67,Aroor,Ernakulam,PAG,PP172EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
70,Aruvikkara,Thiruvananthapuram,Agg,AP015TVM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
73,Athani,Thrissur,PAG,PP202TCR,2023-08-14 09:45:03,2023-08-14 10:35:54,1
76,Attingal,Thiruvananthapuram,PAG,PP111TVM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
79,Ayarkunnam,Kottayam,Agg,AP044KTM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
82,Ayathil,Kollam,PAG,PP126KLM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
85,Ayoor,Kollam,Agg,AP024KLM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
88,Ayyampuzha,Ernakulam,SPUR,SP325EKM,2023-08-14 09:45:03,2023-08-14 10:35:54,1
91,Azhikode,Kannur,Agg,AP087KNR,2023-08-14 09:45:04,2023-08-14 10:35:54,1
94,Badiyadukka,Kasaragod,PAG,PP293KGD,2023-08-14 09:45:04,2023-08-14 10:35:54,1
97,Balaramapuram,Thiruvananthapuram,PAG,PP112TVM,2023-08-14 09:45:04,2023-08-14 10:35:54,1
100,Balussery,Kozhikode,SPUR,SP364KKD,2023-08-14 09:45:04,2023-08-14 10:35:54,1
